date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:26:40	10019/10019	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2012:02:25%20GMT	http://ethicsfordesign.com/assets/images/circles/Circle-4.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/images/circles/Circle-4.png	(from http://ethicsfordesign.com/fr)
16:26:40	7560/7560	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2014:26:37%20GMT	http://ethicsfordesign.com/fr/lecteur?lang=en	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/fr/lecteur9ed2.html	(from http://ethicsfordesign.com/fr)
16:26:40	9160/9160	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2012:02:25%20GMT	http://ethicsfordesign.com/assets/images/circles/Circle-5.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/images/circles/Circle-5.png	(from http://ethicsfordesign.com/fr)
16:26:40	41596/41596	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2014:26:38%20GMT	http://ethicsfordesign.com/	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/index.html	(from http://ethicsfordesign.com/fr)
16:26:41	7560/7560	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2014:26:38%20GMT	http://ethicsfordesign.com/fr/lecteur?lang=fr	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/fr/lecteure68f.html	(from http://ethicsfordesign.com/fr)
16:26:42	17715/17715	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Sep%202017%2012:02:26%20GMT	http://ethicsfordesign.com/assets/images/circles/Circle-6.png	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/images/circles/Circle-6.png	(from http://ethicsfordesign.com/fr)
16:26:45	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sat,%2007%20Oct%202017%2014:26:39%20GMT	https://i.creativecommons.org/l/by-nc/4.0/88x31.png	C:/Mes%20Sites%20Web/rush/i.creativecommons.org/l/by-nc/4.0/88x31.10.delayed	(from http://ethicsfordesign.com/fr)
16:26:45	1709/1709	---M--	200	added ('OK')	image/png	etag:%221419-4f0c8c2319f40%22	https://licensebuttons.net/l/by-nc/4.0/88x31.png	C:/Mes%20Sites%20Web/rush/licensebuttons.net/l/by-nc/4.0/88x31.png	(from http://ethicsfordesign.com/fr)
16:26:45	16324/16324	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2015%20Sep%202017%2014:57:20%20GMT	http://ethicsfordesign.com/content/4-informations/5-partners/designhuman.svg	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/4-informations/5-partners/designhuman.svg	(from http://ethicsfordesign.com/fr)
16:26:45	36187/36187	---M-Z	200	added ('OK')	text/html	date:Sat,%2007%20Oct%202017%2014:26:43%20GMT	http://ethicsfordesign.com/_analytics/	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/_analytics/index.html	(from http://ethicsfordesign.com/fr)
16:26:54	103198/103198	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Sep%202017%2014:57:11%20GMT	http://ethicsfordesign.com/content/3-about/3-interviewees/participants.jpg	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/content/3-about/3-interviewees/participants.jpg	(from http://ethicsfordesign.com/fr)
16:26:55	151125/151125	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2022%20Jun%202016%2014:41:23%20GMT	http://cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js	C:/Mes%20Sites%20Web/rush/cdnjs.cloudflare.com/ajax/libs/d3/3.5.5/d3.min.js	(from http://ethicsfordesign.com/fr)
16:26:55	22928/22928	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Sep%202017%2012:03:44%20GMT	http://ethicsfordesign.com/assets/js/dist/vendors/history.min.1505304224.js	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/js/dist/vendors/history.min.1505304224.js	(from http://ethicsfordesign.com/fr)
16:26:55	986/986	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Sep%202017%2012:03:44%20GMT	http://ethicsfordesign.com/assets/js/dist/vendors/bez.min.1505304224.js	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/js/dist/vendors/bez.min.1505304224.js	(from http://ethicsfordesign.com/fr)
16:26:56	6607/6607	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2022%20Sep%202017%2009:37:43%20GMT	http://ethicsfordesign.com/assets/js/dist/scripts.min.1506073063.js	C:/Mes%20Sites%20Web/rush/ethicsfordesign.com/assets/js/dist/scripts.min.1506073063.js	(from http://ethicsfordesign.com/fr)
16:27:00	85578/85578	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	C:/Mes%20Sites%20Web/rush/ajax.googleapis.com/ajax/libs/jquery/2.2.4/jquery.min.js	(from http://ethicsfordesign.com/fr)
